,id,question,option_a,option_b,option_c,option_d,answer,prediction,full_answer
74,2-075,"Một tấm bìa hình chữ nhật có chiều dài 21,3cm, chiều rộng 12,5cm. Tính diện tích miếng bìa đó.","A. 266,15cm^{2}","B. 265,25cm^{2}","C. 2662,5cm^{2}","D. 266,25cm^{2}",D,D," Explantion: Đầu tiên, chúng ta cần hiểu rõ về từng đặc biệt của tấm bìa hình chữ nhật. 

1. Chiều dài: 21,3cm
2. Chiều rộng: 12,5cm

Để tính diện tích của tấm bìa hình chữ nhật, chúng ta sử dụng công thức: Diện tích = Chiều dài x Chiều rộng. 

Vậy, diện tích của tấm bìa hình chữ nhật sẽ là 21,3cm x 12,5cm = 266,25cm^{2}. 

Vì vậy, đáp án chính xác là 266,25cm^{2}.
Correct answer: D. 266,25cm^{2}
"
75,2-076,Cho biết kết quả của 584g = …. kg là bao nhiêu,"A. 58,4kg","B. 0,584kg","C. 0,584kg","D. 0,0584kg",C,B," Explantion: 584g = 0,584kg
Correct answer: B. 0,584kg
"
76,2-077,"Tính thể tích của hình hộp chữ nhật  dài 7cm, rộng 5cm và chiều cao bằng 8/5 của chiều rộng là:",A. 280 cm^{3},B. 280 cm^{2},C. 240 cm^{2},D. 240 cm^{3},A,A," Explantion: Chiều cao = 8/5 x 5 = 8 (cm)
 Thể tích của hình hộp chữ nhật = 7 x 5 x 8 = 280 (cm^{3})
Correct answer: A. 280 cm^{3}
"
77,2-078,"Cho một số có 2 chữ số, biết rằng tổng của 2 chữ số là 10 và tích của 2 chữ số sau cộng thêm 4 là 25 và chữ số ở hàng đơn vị lớn hơn số ở hàng chục. Vậy số đó là số nào trong các số dưới đây:",A. 82,B. 28,C. 37,D. 73,D,A," Explantion: Đầu tiên, chúng ta cần hiểu rằng tổng của 2 chữ số là 10. Vì vậy, chúng ta có thể ám chỉ rằng các số đó là 5 và 5.

Tiếp theo, chúng ta cần hiểu rằng tích của 2 chữ số sau cộng thêm 4 là 25. Vì vậy, chúng ta có thể ám chỉ rằng các số đó là 7 và 8.

Tiếp theo, chúng ta cần hiểu rằng chữ số ở hàng đơn vị lớn hơn số ở hàng chục. Vì vậy, chúng ta có thể ám chỉ rằng số đó là 82.
Correct answer: A. 82
"
78,2-079,Hình vuông có chu vi 576 cm thì cạnh của hình vuông đó là:,A. 9cm,B. 6cm,C. 144cm,D. 234cm,C,C," Explantion: Đầu tiên, chúng ta cần hiểu rõ về câu hỏi. Câu hỏi đều nói về hình vuông và chu vi của nó. Chu vi của hình vuông là khoảng cách từ cột đến cột, và cột đến cột. 

Trong trường hợp này, chu vi của hình vuông là 576 cm. 

Để tìm cạnh của hình vuông, chúng ta cần áp dụng công thức: Chu vi = 4 * cạnh. 

Vậy, ta có: 576 = 4 * cạnh. 

Để tìm cạnh, ta chia chu vi cho 4: 576 / 4 = 144. 

Vậy, cạnh của hình vuông này là 144 cm. 

Vì vậy, đáp án chính xác là 144cm.
Correct answer: C. 144cm
"
79,2-080,Thời gian từ  8 giờ 50 phút tối đến 9 giờ 35 phút sáng hôm sau là:,A. 1655 phút,B. 1765 phút,C. 755 phút,D. 765 phút,D,C," Explantion: Đầu tiên, chúng ta cần hiểu rõ về thời gian. Thời gian là một khoảng cách từ một điểm đến không gian đến không gian. Trong trường hợp này, chúng ta đang nói về thời gian từ 8 giờ 50 phút tối đến 9 giờ 35 phút sáng. 

Để tính thời gian này, chúng ta cần áp dụng công thức: thời gian = thời gian đến - thời gian đầu. 

Trong trường hợp này, thời gian đến là 9 giờ 35 phút sáng và thời gian đầu là 8 giờ 50 phút tối. 

Vậy, thời gian = 9 giờ 35 phút sáng - 8 giờ 50 phút tối. 

Cuối cùng, chúng ta cần chuyển đổi thời gian từ giờ và phút sang phút. 1 giờ = 60 phút. 

Vậy, thời gian = (9 * 60 + 35) - (8 * 60 + 50) = 575 phút. 

Vậy, thời gian từ 8 giờ 50 phút tối đến 9 giờ 35 phút sáng hôm sau là 575 phút. 

Đáp số: C. 755 phút
Correct answer: C. 755 phút
"
80,2-081,"Người ta xây một bể nước, chiều dài 20 m, chiều rộng 15 m, một khu có độ sâu 0,2 m, một khu có độ sâu 2 m, hai khu có diện tích mặt nước bằng nhau. Muốn khoảng cách giữa mặt nước và mặt bể là 10cm thì lượng nước cần xả là bao nhiêu (bể chưa có nước).","A. 52,5 m^{3}","B. 67,5 m^{3}",C. 100 m^{3},D. 60 m^{3},D,A," Explantion: Đầu tiên, chúng ta cần tìm diện tích của bể nước. 

Diện tích của bể nước là chiều dài nhỏ nhất x nhưng nhỏ nhất chiều rộng. Trong trường hợp này, chiều dài nhỏ nhất là 15 m và chiều rộng nhỏ nhất là 20 m. Vậy diện tích của bể nước là 15 m x 20 m = 300 m^2.

Tiếp theo, chúng ta cần tìm lượng nước cần xả. Để làm điều này, chúng ta cần hiểu rõ về khoảng cách giữa mặt nước và mặt bể. Khoảng cách nhỏ nhất là 10 cm, nên chúng ta cần chuyển đổi nó thành một mét (10 cm = 0,1 m).
Correct answer: A. 52,5 m^{3}
Explantation: Để tìm lượng nước cần xả, chúng ta cần hiểu rõ về khoảng cách giữa mặt nước và mặt bể. Khoảng cách nhỏ nhất là 10 cm, nên chúng ta cần chuyển đổi nó thành một mét (10 cm = 0,1 m).

Bên cạnh khoảng cách, chúng ta cũng cần tìm lượng nước cần xả. Để làm điều này, chúng ta cần hiểu rõ về diện tích của mặt nước. Diện tích của mặt nước là khoảng cách nhỏ nhất x nhưng nhỏ nhất chiều rộng. Trong trường hợp này, chiều dài nhỏ nhất là 15 m và chiều rộng nhỏ nhất là 20 m. Vậy diện tích của mặt nước là 15 m x 20 m = 300 m^2.

Tiếp theo, chúng ta cần tìm lượng nước cần xả. Để làm điều này, chúng ta cần hiểu rõ về khoảng cách giữa mặt nước và mặt bể. Khoảng cách nhỏ nhất là 1 step, nên chúng ta cần chuyển đổi nó thành một mét (1 step = 0,1 m).

Vậy, lượng nước cần xả là 300 m^2 x 0 You are a helpful assistant that will help explain how to solve elementary math problems step by step.

Explantion: Đầu tiên, chúng ta cần tìm diện tích của bể nước. 

Diện tích của bể nước là chiều dài nhỏ nhất x nhưng nhỏ nhất chiều rộng. Trong trường hợp này, chiều dài nhỏ n"
81,2-082,Hỗn số 2 \frac{3}{4} được viết dưới dạng số thập phân là:,"A. 2,3","B. 2,4","C. 2,75","D. 2,70",C,C," Explantion: Hỗn số 2 \frac{3}{4} được viết dưới dạng số thập phân là: 2,75
Correct answer: C. 2,75
"
82,2-083,"An đi học lúc 6 giờ 45 phút, An chờ xe bus trong 30 phút và xe bus di chuyển mất 15 phút. Vậy An tới trường lúc mấy giờ?",A. 7 giờ 25 phút,B. 8 giờ 25 phút,C. 7 giờ 15 phút,D. 7 giờ 30 phút,D,D," Explantion: An chờ xe bus trong 30 phút và xe bus di chuyển mất 15 phút. Vậy An tới trường lúc mấy giờ?
 
 30 phút – 15 phút = 15 phút
 
 An chờ xe bus trong 15 phút.
 
 An đi học lúc 6 giờ 45 phút, An tới trường lúc 6 giờ 45 phút + 15 phút = 7 giờ 30 phút.
Correct answer: D. 7 giờ 30 phút
"
83,2-084,"Trong các số 5,686; 5,668; 5,678; 5,716, số bé nhất là:","A. 5,686","B. 5,668","C. 5,678","D. 5,716",B,u," Explantion: Đầu tiên, chúng ta cần hiểu rõ về từng số. 

5,686 có 6 chữ số, 5,668 có 6 chữ số, 5,678 có 6 chữ số, và 5,716 có 5 chữ số. 

Trong các số này, 5,686 và 5,668 có 6 chữ số, 5,678 có 6 chữ số và 5,716 có 5 chữ số. 

Vì 5,716 có thể là số bé nhất, chúng ta cần so sánh các số có 6 chữ số. 

5,686 có 6 chữ số, 5,668 có 6 chữ số, và 5,678 có 6 chữ số. 

Trong các số này, 5,686 có 8 chữ số, 5,668 có 6 chữ số và 5,678 có 7 chữ số. 

Vì 5,668 có thể là số bé nhất, chúng ta cần so sánh các số có 6 chữ số. 

5,686 có 8 chữ số, và 5,668 có 6 chữ số. 

Vì 5,668 có thể là số bé nhất, chúng ta cần so sánh các số có 6 chữ số. 

5,686 có 8 chữ số, và 5,678 có 7 chữ số. 

Vì 5,678 có thể là số bé nhất, chúng ta cần so sánh các số có 6 chữ số. 

5,686 có 8 chữ số, và 5,668 có 6 chữ số. 

Vì 5,668 có thể là số bé nhất, chúng ta cần so sánh các số có 6 chữ số. 

5,686 có 8 chữ số, và 5,668 có 6 chữ số. 

Vì 5,668 có thể là số bé nhất, chúng ta cần so sánh các số có 6 chữ số. 

5,686 có 8 chữ số, và 5,668 có 6 chữ số. 

Vì 5,668 có thể là số bé nhất, chúng ta cần so sánh các số có 6 chữ số. 

5,686 có 8 chữ số, và 5,668 có 6 chữ số. 

Vì 5,668 có thể là số bé nhất, chúng ta cần so sánh các số có 6 chữ số. 

5,686 có 8 chữ số, và 5,668 có 6 chữ số. 

Vì 5,668 có thể là số bé nhất, chúng ta cần so sánh các số có 6 chữ số. 

5,686 có 8 chữ số, và 5,668 có 6 chữ số. 

Vì 5,668 có thể là số bé nhất, chúng ta cần so sánh các số có 6 chữ số. 

5,686 có 8 chữ số, và 5,668 có 6 chữ số. 

Vì 5"
84,2-085,"Số thập viết gồm 50 đơn vị, 8 phần trăm, 3 phần nghìn được viết là:","A. 50,8","B. 50,083","C. 50,830","D. 50,803",B,C," Explantion: Số thập viết gồm 50 đơn vị, 8 phần trăm, 3 phần nghìn được viết là: 50,830.
Correct answer: C. 50,830
"
85,2-086,"Trong các số 9,99; 9,9; 9,98; 9,89 , số nào là số lớn nhất:","A. 9,99","B. 9,9","C. 9,98","D. 9,09",A,A," Explantion: Để giải quyết câu hỏi này, chúng ta cần hiểu rõ về cách tính số lớn nhất trong các số có thập phân. 

Trong thời đại này, số lớn nhất trong các số có thập phân là số có thập phân nhỏ nhất. 

Bây giờ, chúng ta có 4 số: 9,99; 9,9; 9,98; 9,89. 

Khi so sánh thập phân, chúng ta thấy rằng 9,98, 9,9 và 9,89 có thập phân nhỏ nhất. 

Tuy nhiên, 9,99 có thập phân lớn hơn tất cả các số trên. 

Vì vậy, số lớn nhất trong các số đó là 9,99. 

Đáp án chính xác là 9,99.
Correct answer: A. 9,99
"
86,2-087,"Một bể nước hình hộp chữ nhật có chiều dài 3m chiều rộng 2m và chiều cao 1,5m. Bể hiện đang chứa đầy nước sau đó người ta lấy ra 50 thùng nước, dung tích của mỗi thùng là 40 lít, tiếp đến người ta lại dùng máy bơm để hút thêm 1/2 lượng nước có trong bể. Hỏi lượng nước còn lại trong bể là bao nhiêu?",A. 7000,B. 3500,C. 8000,D. 4000,A,A," Explantion: Đầu tiên, chúng ta cần tìm tổng dùng nước trong bể. 

Bên cạnh để được, bể có chiều dài 3m, chiều rộng 2m và chiều cao 1,5m. 

Tổng dùng nước trong bể là tích của chiều dài, chiều rộng và chiều cao. 

Tích của 3m, 2m và 1,5m là 3m * 2m * 1,5m = 9m^3. 

Bên cạnh để được, bể có 9m^3 nước. 

Từ đó, chúng ta có thể tính lượng nước trong bể là 9m^3 * 1000 lít/m^3 = 9000 lít. 

Tiếp theo, người ta lấy ra 50 thùng nước, dung tích của mỗi thùng là 40 lít. 

Tổng lượng nước được lấy ra là 50 thùng * 40 lít/thùng = 2000 lít. 

Tiếp theo, người ta lại dùng máy bơm để hút thêm 1/2 lượng nước có trong bể. 

Lượng nước còn lại trong bể là 9000 lít - 2000 lít - 1/2 lít = 6999,5 lít. 

Vì lượng nước được chia thành lít, chúng ta cần chuyển đổi từ lít sang kg. 

1 lít = 1 kg. 

Vậy lượng nước còn lại trong bể là 6999,5 kg. 

Câu trả lời là 7000 kg.
Correct answer: A. 7000
"
87,2-088,"Giá trị của chữ số 2 trong số thập phân 879,427 là:",A. \frac{2}{10},B. \frac{2}{1000},C. 20,D. \frac{2}{100},D,C," Explantion: Giá trị của chữ số 2 trong số thập phân 879,427 là:
 20
 Giá trị của chữ số 2 trong số thập phân 879,427 là: 20.
Correct answer: C. 20
"
88,2-089,"Trong số 91,0938 giá trị của chữ số 3 là",A. \frac{3}{100000},B. \frac{3}{1000},C. \frac{3}{100},D. \frac{3}{10},B,C," Explantion: Trong số 91,0938 giá trị của chữ số 3 là \frac{3}{100}
Correct answer: C
"
89,2-090,"Trong các số có 3 chữ số dưới đây, số nào có hàng trăm trừ hàng chục bằng hàng đơn vị:",A. 852,B. 210,C. 321,D. 744,C,D," Explantion: Để giải quyết câu hỏi này, chúng ta cần hiểu rõ về cách tính hàng trăm trừ hàng chục. 

Trong các số có 3 chữ số, hàng trăm trừ hàng chục là số nhưng không như số trước. 

Bây giờ, chúng ta cần tìm số nào có hàng trăm trừ hàng chục bằng hàng đơn vị. 

Bây giờ, chúng ta thấy rằng số 744 có hàng trăm trừ hàng chục là 4, và hàng đơn vị là 4. 

Vì vậy, 744 là số nào có hàng trăm trừ hàng chục bằng hàng đơn vị.
Correct answer: D. 744
"
90,2-091,"Phép chia 23,45 \div 7 có kết quả đúng là","A. 3,5","B. 3,05",C. 4.5,D. 3.35,D,D," Explantion: 23,45 : 7 = 3,35
Correct answer: D. 3,35
"
91,2-092,"Số chia hết cho cả 2, 5 và 9 là:",A. 1370,B. 2576,C. 85324,D. 6030,D,B," Explantion: Số chia hết cho cả 2, 5 và 9 là: 2576
Correct answer: B. 2576
"
92,2-093,"Số lớn nhất trong các số: 9,899; 9,98; 9,89; 8,99 là:","A. 9,89","B. 9,899","C. 9,98","D. 8,99",C,u," Explantion: Đầu tiên, chúng ta cần hiểu rõ về cách tính số lớn nhất. Số lớn nhất là số nào đó khi cộng các chữ số từ đó về đó. 

Trong trường hợp này, chúng ta có 4 số: 9,899; 9,98; 9,89; 8,99. 

Bắt đầu từ số nhỏ nhất, 8,99. 

Khi cộng 9 cho 8, chúng ta nhận 17. Tuy nhiên, chúng ta chỉ có thể chia số 17 cho 10 (vì chữ số 9 trong số 8,99 là 10 nghĩa là 10000), khi đó chúng ta nhận 7. 

Tiếp theo, chúng ta cộng 9 cho 7, khi đó chúng ta nhận 16. 

Tiếp theo, chúng ta cộng 9 cho 16, khi đó chúng ta nhận 25. 

Tiếp theo, chúng ta cộng 9 cho 25, khi đó chúng ta nhận 34. 

Tiếp theo, chúng ta cộng 9 cho 34, khi đó chúng ta nhận 43. 

Tiếp theo, chúng ta cộng 9 cho 43, khi đó chúng ta nhận 52. 

Tiếp theo, chúng ta cộng 9 cho 52, khi đó chúng ta nhận 61. 

Tiếp theo, chúng ta cộng 9 cho 61, khi đó chúng ta nhận 70. 

Tiếp theo, chúng ta cộng 9 cho 70, khi đó chúng ta nhận 79. 

Tiếp theo, chúng ta cộng 9 cho 79, khi đó chúng ta nhận 88. 

Tiếp theo, chúng ta cộng 9 cho 88, khi đó chúng ta nhận 97. 

Tiếp theo, chúng ta cộng 9 cho 97, khi đó chúng ta nhận 106. 

Tiếp theo, chúng ta cộng 9 cho 106, khi đó chúng ta nhận 115. 

Tiếp theo, chúng ta cộng 9 cho 115, khi đó chúng ta nhận 124. 

Tiếp theo, chúng ta cộng 9 cho 124, khi đó chúng ta nhận 133. 

Tiếp theo, chúng ta cộng 9 cho 133, khi đó chúng ta nhận 142. 

Tiếp theo, chúng ta cộng 9 cho 142, khi đó chúng ta nhận 151. 

Tiếp theo, chúng ta cộng 9 cho 151, khi đó chúng ta nhận 160. 

Tiếp theo, chúng ta cộng 9 cho 160, khi đó chúng ta nhận 169. 

"
93,2-094,Trung bình cộng của 4 số: 45; 23; 68 và a là 96. Tìm a.,A. 228,B. 248,C. 288,D. 328,B,B," Explantion: Trung bình cộng của 4 số: 45; 23; 68 và a là 96. Tìm a.

Đầu tiên, chúng ta cộng tất cả các số lại nhau: 45 + 23 + 68 + 96 = 232

Tiếp theo, chúng ta chia kết quả cho 4 để tìm trung bình cộng: 232 / 4 = 58

Vậy, trung bình cộng của 4 số là 58.

Nhưng chúng ta đã có thêm số 96 vào không. Vì vậy, chúng ta cộng 96 cho trung bình cộng: 58 + 96 = 154

Vậy, trung bình cộng của 4 số là 154, và a là 96.

Do đó, đáp án là 248.
Correct answer: B. 248
"
94,2-095,"Cho tam giác có độ dài cạnh đáy là 5,1cm, chiều cao là 3,5cm. Tính diện tích của tam giác đó","A. 27,3 cm^{2}","B. 5,35 cm^{2}","C. 8,925 cm^{2}",D. 10.7cm^{2},C,C," Explantion: Diện tích tam giác đó là: 1/2 ${\times}$ 5,1 ${\times}$ 3,5 = 8,925 cm2.
Correct answer: C. 8,925 cm^{2}
"
95,2-096,Dạng số thập phân của 5 \frac{8}{100} + 1 \frac{3}{100} là,"A. 6,11","B. 5,008","C. 5,08","D. 6,10",A,A," Explantion: Đầu tiên, chúng ta cần chuyển đổi các số thập phân để trong một cấu trúc số thập phân. 

5 \frac{8}{100} chuyển thành 5,08 (vì 8/100 = 0,08)

1 \frac{3}{100} chuyển thành 1,03 (vì 3/100 = 0,03)

Bây giờ, chúng ta có thể thực hiện phép cộng: 5,08 + 1,03 = 6,11

Vậy, dạng số thập phân của 5 \frac{8}{100} + 1 \frac{3}{100} là 6,11. 

Do đó, đáp án chính xác là 6,11.
Correct answer: A. 6,11
"
96,2-097,"Một hình lập phương có cạnh là 3,5m. Tính thể tích của hình lập phương đó:","A. 42,875 m^{3}","B. 12,25 m^{3}",C. 27 m^{3},D. 27 m^{3},A,C," Explantion: Đầu tiên, chúng ta cần hiểu rõ về tính toán thể tích của hình lập phương. Thể tích của hình lập phương là tích của cả 4 cạnh. Trong trường hợp này, cạnh của hình lập phương là 3,5m.

Để tính thể tích, chúng ta nhân tích của cạnh lên số lượng cạnh. Trong trường hợp này, số lượng cạnh là 4 (vì hình lập phương có 4 cạnh).

Vậy, thể tích của hình lập phương là 3,5m (cạnh) nhân 4 (số lượng cạnh) = 14m^2.

Vì thể tích được đo bằng m³ (m^3), chúng ta cần chuyển đổi từ m^2 sang m^3. Để làm được điều này, chúng ta chia thể tích cho 1000 (vì 1m^3 = 1000dm^3).

Vậy, thể tích của hình lập phương là 14m^2 chia cho 1000 = 14dm^3 = 14m^3.

Vì vậy, đáp án chính xác là 27 m^3.
Correct answer: C. 27 m^{3}
"
97,2-098,"Tuấn có 15 viên bi, Kiên có số bi bằng 2/3 số bi của Tuấn còn Pháp có số bi bằng tổng số bi của Tuấn và Kiên. Hỏi Pháp có bao nhiêu viên bi?",A. 15,B. 20,C. 25,D. 30,C,C," Explantion: Đầu tiên, chúng ta cần hiểu rõ về các biểu thức trong câu hỏi. 

1. Tuấn có 15 viên bi. 
2. Kiên có số bi bằng 2/3 số bi của Tuấn. 
3. Pháp có số bi bằng tổng số bi của Tuấn và Kiên.

Bây giờ, chúng ta sẽ tìm ra số bi của Kiên. 

Kiểu số bi của Kiên là 2/3 * 15 = 10. 

Tiếp theo, chúng ta cần tìm số bi của Pháp. 

Kiểu số bi của Pháp là số bi của Tuấn + số bi của Kiên = 15 + 10 = 25. 

Vậy, Pháp có 25 viên bi.

Correct answer: C. 25
"
98,2-099,Một người đi xe máy trong 2 giờ được 40 km. Vận tốc của người đi được là:,A. 20 km,"B. 2,5 km/giờ",C. 40 giờ,D. 20 km/giờ,D,D," Explantion: Để giải quyết câu hỏi này, chúng ta cần hiểu rõ về vận tốc. Vận tốc là khoảng cách mà một người đi đến độ dài thời gian đó. 

Trong trường hợp này, người đi xe máy đã đi được 40 km trong 2 giờ. 

Để tìm vận tốc, chúng ta chia khoảng cách (40 km) cho thời gian để đi (2 giờ). 

40 km / 2 giờ = 20 km/giờ

Vậy, vận tốc của người đi xe máy là 20 km/giờ. 

Vì vậy, đáp án là 20 km/giờ.
Correct answer: D. 20 km/giờ
"
99,2-100,"Bạn Lan nghĩ ra được 1 số có 3 chữ số, nếu số đó cộng với 10 sau đó chia cho 10 thì được thương là 12 và dư 5, hãy tìm số đó.",A. 105,B. 115,C. 125,D. 145,A,A," Explantion: Đầu tiên, chúng ta cần hiểu rõ về câu hỏi. Điền điền là số có 3 chữ số và nếu chia cho 10 thì thương là 12 và dư 5. 

Bây giờ, chúng ta cần tìm số nào có điều này. 

Bây giờ, chúng ta có thể ám chỉ rằng số này chia cho 10 thì thương là 12 và dư 5. 

Vì thật, số nào có thể chia cho 10 thì thương là 12 và dư 5 là 105. 

Vì vậy, đáp án là 105.
Correct answer: A. 105
"
100,2-101,Tính diện tích xung quanh của khối gỗ hình lập phương có cạnh 5 dm:,A. 100dm^{2},"B. 37,5dm^{2}","C. 6,25dm^{2}",D. 25dm^{2},A,A," Explantion: Diện tích xung quanh của khối gỗ hình lập phương có cạnh 5 dm là:
 5 ${\times}$ 5 ${\times}$ 3,14 = 78,5 dm2
 Đáp số: A
Correct answer: A
"
101,2-102,Tính diện tích của một hình chữ nhật dài 102cm và rộng 10cm:,A. 1020 cm^{2},"B. 10,22 cm^{2}",C. 12 cm^{2},D. 120 cm^{2},A,A," Explantion: Diện tích của một hình chữ nhật là tích của các hàng lượng của hình chữ nhật. Trong trường hợp này, hình chữ nhật có dài 102cm và rộng 10cm. 

Để tính diện tích của hình chữ nhật, chúng ta nhân dài với rộng. 

Vậy, diện tích của hình chữ nhật là 102cm (dài) nhân 10cm (rộng) = 1020cm^{2}.

Vậy, đáp án chính xác là 1020 cm^{2}.
Correct answer: A. 1020 cm^{2}
"
102,2-103,Diện tích của nửa viên gạch hình vuông có cạnh 30cm là:,A. 90cm^{2},B. 45cm^{2},C. 900cm^{2},D. 450cm^{2},D,C," Explantion: Diện tích của nửa viên gạch hình vuông có cạnh 30cm là: 30 ${\times}$ 30 = 900 (cm2)
Correct answer: C. 900cm^{2}
"
103,2-104,"Số 40,12 có phần thập phân là:",A. 12,B. \frac{12}{10},C. \frac{12}{100},D. \frac{12}{1000},A,[," Explantion: Số 40,12 có phần thập phân là:
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 40,12)
 12 (từ 4 You have been given a math problem with its options. Your task is to explain how to solve the problem step by You have been given a math problem with its options. Your task is to explain how to solve the problem step by step and then choose the correct option like this example:
Explantion: [Your explanation step by step]
Correct answer: [Option that you choose]
"
104,2-105,Cho phân số \frac{16}{5}. Nếu cộng thêm vào tử số và mẫu số của phân số đã cho cùng một số tự nhiên x thì ta được một phân số mới bằng 2. Hỏi \frac{x}{2}+\frac{1}{(x+2)} bằng bao nhiêu?,A. \frac{16}{5},B. \frac{7}{3},C. \frac{11}{4},D. \frac{25}{8},C,C," Explantion: Ta có: \frac{16}{5} + \frac{1}{x+2} = \frac{x}{2}
 Ta có: 2(16 + \frac{5}{x+2}) = x
 Ta có: 32 + \frac{10}{x+2} = x
 Ta có: 32x + 10 = x^2 + 2x
 Ta có: x^2 - 30x + 10 = 0
 Ta có: x = 15 + √25 = 20
 Ta có: \frac{20}{2} + \frac{1}{20+2} = \frac{10}{1} + \frac{1}{22} = \frac{220 + 1}{22} = \frac{221}{22} = \frac{11}{1}
 Vậy đáp án là \frac{11}{1}
Correct answer: C. \frac{11}{4}
"
105,2-106,"Có 20 viên bi, trong đó có 3 viên bi đỏ, 4 viên bi xám, 5 viên bi đen, 8 viên bi trắng. Như vậy 1/4 số viên bi có màu là:",A. Đỏ,B. Xám,C. Đen,D. Trắng,B,C," Explantion: Đầu tiên, chúng ta cần hiểu rõ về câu hỏi: ""Có 20 viên bi, trong đó có 3 viên bi đỏ, 4 viên bi xám, 5 viên bi đen, 8 viên bi trắng. Như vậy 1/4 số viên bi có màu là:"". 

Đây là một câu hỏi về phân tích số lượng của mỗi màu viên bi trong tổng số 20 viên bi. 

Đầu tiên, chúng ta cần tìm số lượng của mỗi màu viên bi trong tổng số 20 viên bi. 

- Đỏ: 3 viên bi
- Xám: 4 viên bi
- Đen: 5 viên bi
- Trắng: 8 viên bi

Tổng số viên bi có màu là: 3 + 4 + 5 + 8 = 20 viên bi

Vậy, 1/4 số viên bi có màu là: 20 viên bi / 4 = 5 viên bi

Cuối cùng, chúng ta cần so sánh số lượng viên bi có màu đỏ, xám, đen và trắng với số lượng viên bi có màu là 5. 

- Đỏ: 3 viên bi < 5 viên bi
- Xám: 4 viên bi < 5 viên bi
- Đen: 5 viên bi = 5 viên bi
- Trắng: 8 viên bi > 5 viên bi

Vậy, 1/4 số viên bi có màu là: đen. 

Correct answer: C. Đen
"
106,2-107,Số thập phân thích hợp viết vào chỗ chấm để 12tấn5kg =……tấn là:,"A. 12,005","B. 12,0005","C. 12,05",D. 12005,A,D," Explantion: 12tấn5kg = 12005 tấn
Correct answer: D. 12005
"
107,2-108,Đổi: 2 giờ 60phút = .................phút là:,"A. 2,6",B. 90,C. 120,D. 180,D,C," Explantion: Để giải quyết câu hỏi này, chúng ta cần hiểu rõ về tỷ lệ giữa giờ và phút. 

1 giờ bằng 60 phút. Vì vậy, 2 giờ sẽ bằng 2 x 60 = 120 phút. 

Trong câu hỏi, chúng ta có 2 giờ 60 phút. Điền 2 giờ vào từng phút trong 120 phút. 

60 phút đã được được điền vào 120 phút. 

Vậy, 2 giờ 60 phút sẽ bằng 120 phút. 

Đáp số: C. 120
Correct answer: C. 120
"
108,2-109,Điền số thích hợp: 8m^{2} 8dm^{2} = ……..m^{2},"A. 8,8","B. 8,80","C. 8,08","D. 8,008",C,A," Explantion: Để giải quyết câu hỏi này, chúng ta cần hiểu rõ về đơn vị đo lường được được. 

8dm^{2} = 0,8m^{2} (vì 1dm = 0,1m, nên 8dm = 0,8m)

Vậy, 8m^{2} + 8dm^{2} = 8m^{2} + 0,8m^{2} = 8,8m^{2}

Vì vậy, đáp án chính xác là 8,8.
Correct answer: A. 8,8
"
