,id,question,option_a,option_b,option_c,option_d,answer,prediction
151,2-152,"Tìm số lớn biết tổng hai số bằng 212,12 và hiệu của hai số bằng 1,2:","A. 106,66",B. 100,"C. 184,7","D. 105,46",D,D
152,2-153,Có 144 cái cốc đóng đều vào 8 hộp mỗi hộp 6 cái; 7 hộp mỗi hộp 8 cái. Số cốc còn lại được đóng đều vào các hộp chứa được 10 cốc mỗi hộp. Hỏi tổng số hộp để chứa hết số cốc là bao nhiêu ?,A. 19,B. 21,C. 23,D. 29,A,D
153,2-154,"Một bể nước hình hộp chữ nhật có chiều dài 3m chiều rộng 2m và chiều cao 1,5m.Đầu tiên người ta hút đi 2/5 lượng nước trong bể sau đó dùng thùng lấy ra 50 thùng nước, dung tích của mỗi thùng là 40 lít. Hỏi lượng nước còn lại trong bể là bao nhiêu lít?",A. 3400,B. 3500,C. 5300,D. 4300,A,B
154,2-155,"Điền số thích hợp vào chỗ trống: 2,5m^{2}5dm^{2} = ...... m^{2} là:","A. 2,5","B. 2,55",C. 255,"D. 2, 055",B,A
155,2-156,"Một lớp học có 22 học sinh nam và 18 học sinh nữ. Vậy, tỉ số học sinh nữ so với số học sinh cả lớp là:","A. 4,5%",B. 45%,C. 60%,"D. 0,6%",B,B
156,2-157,Phân số thập phân là:,A. \frac{3}{7},B. \frac{4}{19},C. \frac{100}{34},D. \frac{15}{100},D,D
157,2-158,"Trong lớp học, có 2/5 số bạn được phân công vào đội múa còn 1/3 số bạn được phân công vào đội hát. Sau khi phân công thì trong lớp còn 12 bạn chưa được phân công. Hỏi số bạn được phân công vào đội múa là bao nhiêu bạn?",A. 12,B. 15,C. 18,D. 20,C,B
158,2-159,"Tìm một số, biết rằng nếu lấy số đó bớt đi 3454 rồi gấp lên 3 lần cuối cùng thêm 100 vào thì được 1036.",A. 1036,B. 3454,C. 312,D. 3766,D,D
159,2-160,"Giá trị của chữ số 5 trong số thập phân 14,597 là:",A. 5,B. \frac{5}{10},C. \frac{5}{100},D. \frac{5}{1000},B,C
160,2-161,Điền số thích hợp: 2m^{2} 12dm^{2}= …………m^{2} là:,A. 212 m^{2},"B. 2,12 m^{2}","C. 2,02 m^{2}","D. 2,002 m^{2}",B,B
161,2-162,"Phép tính (45,6 \div 12) - 2,03 có kết quả là:","A. 1,77","B. 24,1","C. 36,97","D. 4,06",A,A
162,2-163,Điền kết quả đúng: 2kg 3g =…………g,A. 230,B. 203,C. 2003,D. 23,C,A
163,2-164,"Tính số lượng số hạng của dãy số sau: 1, 4, 7, 10, 13, 16, ..., 94, 97, 100, 103.",A. 33,B. 34,C. 35,D. 36,C,B
164,2-165,"Một cửa hàng có 10450 m vải , cửa hàng đã bán trong 4 tuần , mỗi tuần bán được 770m vải. Hỏi cửa hàng còn lại bao nhiêu mét vải ?",A. 7730,B. 7370,C. 7703,D. 7037,B,A
165,2-166,Số gồm 7 đơn vị và 65 phần nghìn là:,A. 65007,"B. 7,65","C. 0,765","D. 7,065",D,A
166,2-167,"Sáu đơn vị, tám phần mười, năm phần trăm, ba phần nghìn.","A. 685,3","B. 68,53","C. 6,853","D. 6,835",C,C
167,2-168,"Trong các số sau: 2,102; 2,245; 2,600; 2,150, số nào là số bé nhất:","A. 2,102","B. 2,245","C. 2,600","D. 2,150",A,A
168,2-169,Một hình tròn có đường kính 40cm. Tính diện tích hình tròn đó.,"A. 31,4 cm^{2}","B. 62,8 cm^{2}",C. 314 cm^{2},"D. 1256,4cm^{2}",D,C
169,2-170,Kết quả của 2ha 3m^{2} =............... m^{2} là:,A. 203,B. 2 003,C. 20 003,D. 200 000 3,C,C
170,2-171,"Tìm số có 3 chữ số, biết rằng tổng các số hạng bằng số lớn nhất của số tự nhiên có 1 chữ số. Và số chữ số hàng trăm trừ đi chữ số hàng chục trừ thêm một thì bằng chữ số hàng đơn vị và bằng số tự nhiên nhỏ nhất.",A. 540,B. 630,C. 450,D. 730,A,B
171,2-172,Kết quả của 2kg 12g = ..........kg,"A. 2,012kg","B. 5,23kg",C. 5230kg,D. 5023kg,A,A
172,2-173,Một hình tam giác có độ dài 3 cạnh lần lượt là 5cm; 7cm; 3cm. Chu vi hình tam giác là:,A. 15cm,B. 21cm,C. 35cm,D. 105cm,A,D
173,2-174,Một cửa hàng sáng bán được 3/10 số vải thì trong cửa hàng còn lại 56m vải. Hỏi ban đầu số mét vải có trong cửa hàng là bao nhiêu?,A. 60m,B. 70m,C. 80m,D. 90m,C,C
174,2-175,"Kết quả của phép tính 10 + 21 * 5 - 4,5 * 2 là bao nhiêu:",A. 31,B. 106,C. 146,D. 41,B,C
175,2-176,"Lớp 4A có 12 bạn thích môn tiếng Việt, 18 bạn thích môn Toán. Trong số các bạn tích Tiếng Việt hoặc thích Toán có 8 bạn thích cả hai môn Tiếng Việt và Toán. Trong lớp vẫn còn có 10 bạn không thích môn nào (trong hai môn Tiếng Việt và Toán). Hỏi lớp 4A có bao nhiêu bạn tất cả?",A. 7,B. 12,C. 37,D. 32,D,C
176,2-177,"Cho một hình vuông có cạnh 3,5 cm, một hình chữ nhật có chiều dài 4 cm, chiều rộng 3 cm.",A. Chu vi hình vuông bằng chu vi hình chữ nhật,B. Diện tích hình vuông bằng diện tích hình chữ nhật,C. Diện tích hình vuông nhỏ hơn diện tích hình chữ nhật,D. Chu vi hình vuông lớn hơn chu vi hình chữ nhật,A,A
177,2-178,"Tìm chiều dài một thửa ruộng hình chữ nhật biết S=632,4 m2 và chiều rộng bằng 18m","A. 35,13m","B. 35,24m","C. 35,27m","D. 3,46",A,A
178,2-179,"Tám đơn vị, sáu phần mười, năm phần nghìn viết được số thập phân là:","A. 8,56","B. 86,5","C. 8,605","D. 8,65",C,C
179,2-180,"Khi biểu diễn trên tia số, phân số gần số 0 nhất là:",A. \frac{1}{2},B. \frac{1}{4},C. \frac{1}{5},D. \frac{1}{10},D,D
180,2-181,Điền số thích hợp: 3kg 12g =............kg,A. 2002,"B. 2,02",C. 2,"D. 2,012",K,D
181,2-182,"Giá trị của chữ số 5 trong số 23,150 là:",A. \frac{5}{10},B. \frac{5}{100},C. \frac{5}{1000},D. 5,B,C
182,2-183,"Kết quả của phép tính: 45,6 \div 10",A. 456,"B. 4,56",C. 345,"D. 3,45",B,B
183,2-184,"Tìm số bé nhất trong các số sau: 52,02; 9,11; 53,20; 32,05","A. 52,02","B. 53,20","C. 9,11","D. 32,05",C,C
184,2-185,"Phân số nào có thể chuyển thành phân số thập phân. Biết các phân số thập phân là các phân số có mẫu là: 10,100,1000...",A. \frac{5}{3},B. \frac{5}{11},C. \frac{11}{5},D. \frac{5}{26},C,B
185,2-186,"Tính nhanh: 1,1 + 2,2 + 3,3 + 4,4 + 5,5 + 6,6 + 7,7 + 8,8 + 9,9 + 10,10","A. 49,6","B. 59,6","C. 60,6","D. 70,6",C,B
186,2-187,Hình lập phương có:,"A. Có 6 mặt đều là hình vuông, có 8 đỉnh và 12 cạnh bằng nhau","B. Có 6 mặt đều là hình chữ nhật, có 8 đỉnh và 12 cạnh bằng nhau","C. Có 6 mặt đều là hình chữ nhật, có 12 đỉnh và 8 cạnh",D. Tất cả đáp án đều sai,A,B
187,2-188,Điền số thích hợp: 105 kg = ...... tấn,A. 15,"B. 0,015",C. 105,"D. 0,105",D,D
188,2-189,"Một lớp học có 40 học sinh, trong đó có 19 học sinh nữ. Tỷ số phần trăm giữa số học sinh nữ và tống số học sinh cả lớp là:","A. 47,5%","B. 4,75%","C. 45,7%","D. 52,5%",A,A
189,2-190,Kết quả của 19 giờ 48 phút \div 9 là:,A. 2 giờ 12 phút,B. 2 giờ 15 phút,C. 2 giờ 10 phút,D. 2 giờ 02 phút,A,A
190,2-191,"Tìm số dư trong phép chia  231,37 \div 22, biết rằng phần thương chỉ lấy 2 chữ số thập phân:","A. 0,15","B. 0,015","C. 1,5",D. 15,A,B
191,2-192,"Số thích hợp viết vào chỗ chấm là:
2cm^{2} 9mm^{2} =..... cm^{2}",A. 29,"B. 2,09","C. 2,9","D. 2,009",B,B
192,2-193,"Số 0,085 dưới dạng tỉ số phần trăm là:","A. 8,5%",B. 850%,"C. 0,85%",D. 85%,A,C
193,2-194,Số thích hợp điền vào chỗ chấm là: 2 tấn 17kg =......kg,A. 217,B. 2017,"C. 2,017","D. 2,17",B,C
194,2-195,3 ha 45dam^{2} = ……… dam^{2},A. 345dam^{2},B. 30045dam^{2},C. 3045dam^{2},D. 3450 dam^{2},B,C
195,2-196,Một học sinh đã làm đúng 25 bài kiểm tra trong số tổng cộng 30 bài kiểm tra. Tỉ lệ phần trăm bài kiểm tra đúng của học sinh đó là:,A. 15%,B. 60%,C. 75%,D. 83.33%,D,D
196,2-197,"Chọn số lớn nhất trong các số sau: 724,36; 963,19; 512,47; 937,82.","A. 512,47","B. 724,36","C. 963,19","D. 937,82",C,C
197,2-198,"Tính kết quả của: 56,47 \times 0,01","A. 0,5647","B. 5,647","C. 564,7","D. 56,47",A,A
198,2-199,Viết số thích hợp vào chỗ chấm: 9 m^{3} 25dm^{3} = ....dm^{3},A. 9025,B. 90025,C. 900025,D. 925,A,B
199,2-200,Tổng của hai số là 222 và số thứ nhất gấp rưỡi số thứ hai. Vậy số thứ nhất là:,"A. 132,2","B. 74,7",C. 80,"D. 88,8",A,A
200,2-201,"Giá  trị chữ số 8 trong số thập phân 12,384 là :",A. \frac{8}{10},B. \frac{8}{100},C. \frac{8}{1000},D. \frac{8}{10000},B,C
201,2-202,"Giá trị của chữ số 5 trong số 21,075 là:",A. 5,B. \frac{5}{1000},C. \frac{5}{100},D. \frac{5}{10},B,A
202,2-203,"Lớp 9A có 35 bạn, với 10 bạn nữ. Tỷ lệ bạn nữ so với bạn nam là bao nhiêu %",A. 45%,B. 65%,C. 40%,D. 75%,C,A
203,2-204,"Phòng học có dạng hình hộp chữ nhật chiều dài 7m, chiều rộng 4,5m, chiều cao 3m. Người ta muốn sơn toàn bộ trần nhà và 4 bức tường. Biết tổng diện tích các cửa là 7,5m2, tính diện tích cần sơn.",A. 83m^{2},B. 108m^{2},C. 93m^{2},D. 98m^{2},C,B
204,2-205,"23,25 + 5,34 có kết quả là:","A. 2,859","B. 28,59","C. 79,65","D. 59,28",B,B
205,2-206,"Trong số 410,920, giá trị của chữ số 2:",A. \frac{2}{1000},B. \frac{2}{100},C. \frac{2}{10},D. 2,B,B
206,2-207,Khoảng thời gian từ 13 giờ kém 10 phút đến 21 giờ 30 phút là:,A. 520 phút,B. 500 phút,C. 52 phút,D. 50 phút,A,A
207,2-208,"Hình vuông có chu vi 44m, cạnh của nó là:",A. 12m,B. 11m,C. 16m,D. 18m,B,A
208,2-209,"An nghĩ ra một số, nếu lấy số đó chia cho 5 thì được thương là 5 và số dư là số dư lớn nhất. Hãy tìm số đó.",A. 24,B. 29,C. 19,D. 14,B,B
209,2-210,"Trung bình cộng của 3 phân số là \frac{13}{36}. Trung bình cộng của phân số thứ nhất và phân số thứ hai là \frac{5}{12}, của phân số thứ hai và phân số thứ ba là \frac{7}{24}. Phân số thứ nhất, thứ 2, thứ 3 lần lượt là:","A. \frac{1}{2}, \frac{1}{3}, \frac{1}{4}","B. \frac{1}{2}, \frac{1}{4}, \frac{1}{6}","C. \frac{1}{3}, \frac{1}{2}, \frac{1}{4}","D. \frac{1}{6}, \frac{1}{2}, \frac{1}{4}",B,C
210,2-211,"Ngày 29/2/2012 là thứ tư, vậy ngày 4/3/2012 là thứ mấy",A. Thứ năm,B. Thứ sáu,C. Thứ bảy,D. Chủ nhật,D,A
211,2-212,"Số 3,3 viết dưới dạng hỗn số là:",A. 3 \frac{3}{10},B. 6 \frac{6}{10},C. 3 \frac{3}{100},D. 6 \frac{6}{100},A,A
212,2-213,"Một khối kim loại hình lập phương có thể tích 2,12cm^{3} nặng 18g. Vậy nếu một khối kim loại cùng chất có thể tích 3,0cm3 thì khối lượng khối kim loại này là bao nhiêu?","A. 7,6 g","B. 13,034 g","C. 26,6 g","D. 25,377 g",D,B
213,2-214,"Mua 3kg gạo hết 30 000 đồng. Vậy mua 5,5 kg gạo hết số tiền là:",A. 35 000 đồng,B. 45 000 đồng,C. 55 000 đồng,D. 50 000 đồng,C,C
214,2-215,Vĩnh và Phúc cùng làm một công việc thì trong 16 giờ thì xong. Nếu Vĩnh làm 3 giờ và Phúc làm 6 giờ thì họ làm được 25% công việc. Hỏi mỗi người làm công việc đó một mình thì trong bao lâu sẽ hoàn thành xong công việc ?,A. 16h,B. 24h,C. 36h,D. 48h,B,B
215,2-216,"Một cái hộp có 150 viên bi gồm 18 viên bi màu đỏ, 30 viên bi màu xanh, 45 viên bi màu tím và 57 viên bi màu vàng. Nếu không nhìn vào hộp, cần lấy ra bao nhiêu viên để chắc chắn rằng số bi lấy ra sẽ có đủ cả bốn màu?",A. 94 viên,B. 133 viên,C. 110 viên,D. 106 viên,A,A
216,2-217,"Giá trị của chữ số 8 trong số thập phân 71,268 là:",A. 8,B. \frac{8}{10},C. \frac{8}{100},D. \frac{8}{1000},D,D
217,2-218,Phân số thập phân \frac{231}{1000} được viết dưới dạng số thập phân là:,"A. 23,1","B. 0,231","C. 2,31","D. 0,0231",B,B
218,2-219,"Bểu thức 212,99 - 5,11 + 3,22 - 4 có kết quả là:","A. 207,1","B. 207,88","C. 223,54","D. 207,01",A,B
219,2-220,Tính chu vi hình tròn có D= 4cm là:,"A. 12,56 cm","B. 125,6 cm","C. 1,256 cm",D. 1256 cm,A,A
220,2-221,16 \frac{7}{100}  viết dưới dạng số thập phân là:,"A. 16,7","B. 16,70","C. 16,07","D. 16,007",C,B
221,2-222,"Các số X, III, XX, IX, VI, XI được sắp xếp theo thứ tự từ lớn đến bé là:","A. XX, XI , IX ,X, VI, III","B. XX, IX , XI ,X, VI, III","C. XI, X , IX , VIII, V, II","D. XI, X , IX , VIII, II, V",A,A
222,2-223,"Thực hiện phép tính: 136,5 – (100 \div 2,4) \times 0,9","A. 100,5","B. 110,5",C. 100,D. 99,D,A
223,2-224,Hỗn số 6 \frac{9}{100} được viết thành số thập phân:,"A. 6,09","B. 6,90","C. 6,009",D. 69,A,A
224,2-225,Trong các số dưới đây số nào gấp 6 lần chữ số hàng đơn vị của nó?,A. 12,B. 22,C. 32,D. 42,A,C
225,2-226,Hình tròn có bán kính r= 6cm thì diện tích của 1/3 hình tròn là:,"A. 37,68cm^{2}","B. 37,67cm^{2}","C. 113,04cm^{2}",D. 113cm^{2},K,A
226,2-227,"Thể tích của một hình hộp chữ nhật có chiều dài 8m, chiều rộng 3m, chiều cao 2m là:",A. 24m^{3},B. 48m^{3},C. 32m^{3},D. 6m^{3},B,C
227,2-228,Viết 5 \frac{5}{100} dưới dạng số thập phân ta được:,"A. 5,005","B. 5,05","C. 5,03","D. 5,003",B,A
228,2-229,"Trong các số sau đây, số nào có chữ số hàng trăm là 2?",A. 502,B. 205,C. 025,D. 052,B,C
229,2-230,"Tìm số tự nhiên x biết: 22,75 < x < 23,05","A. X = 22,76",B. X = 23,"C. X = 23, 05",D. X = 22,B,C
230,2-231,"Kết quả phép cộng: 56,27 + 2,46","A. 78,73","B. 87,37","C. 58,73","D. 58,37",C,A
231,2-232,"Năm nay tuổi bố gấp 8 lần tuổi bé Hạnh, tuổi mẹ gấp 7 lần tuổi bé Hạnh và bố hơn mẹ 4 tuổi. Vậy 2 năm sau Hạnh bao nhiêu tuổi?",A. 4,B. 3,C. 5,D. 6,D,C
232,2-233,"Dạng phân số thập phân của 2,2 là:",A. \frac{13}{100},B. \frac{22}{10},C. \frac{26}{50},D. \frac{104}{200},B,A
233,2-234,Giá trị của chữ x trong phép tính (x+2) x 5 = 565 là :,A. 121,B. 113,C. 111,D. 114,C,C
234,2-235,"Cho số thập phân 102,456. Nếu chuyển dấu phẩy sang bên phải 2 chữ số thì chữ số 4 thuộc hàng nào?",A. Hàng chục,B. Hàng đơn vị,C. Hàn trăm,D. Hàng nghìn,A,A
235,2-236,Dạng số thập phân của 2 \frac{6}{1000}:,"A. 2,0006","B. 2,006","C. 2,06","D. 2,6",B,B
236,2-237,Phân số của hỗn số 2 \frac{5}{9} là:,A. \frac{21}{5},B. \frac{25}{3},C. \frac{13}{10},D. \frac{23}{9},D,A
237,2-238,"3,3 giờ = .....giờ......phút. Số thích hợp điền vào chỗ chấm là:",A. 3 giờ 30 phút,B. 3 giờ 15 phút,C. 3 giờ 18 phút,"D. 3 giờ 12 ,phút",C,A
238,2-239,"20,12 \div 4,2 được:","A. 4,49","B. 4,781","C. 4,4","D. 4,39",B,A
239,2-240,Viết số thích hợp:  5 tấn 312 kg = … kg,"A. 513,2 kg","B. 53,12 kg","C. 5,312 kg",D. 5312 kg,D,D
240,2-241,"Phép trừ 792,54 - 48,8 có két quả đúng là:","A. 743,64","B. 643, 64","C. 743,74","D. 707,65",C,B
241,2-242,"Giá trị của biểu thức: 201 \div 1,5 - 2,5 - 0,9 là:","A. 130,6","B. 136,25","C. 132,4","D. 131,57",A,B
242,2-243,"Tìm số còn thiếu trong dãy số sau 1, 2, 3, 4, 5, 6,  ... để trung bình cộng của dãy số được 7:",A. 7,B. 14,C. 21,D. 28,D,B
243,2-244,Biến đổi 4/10 * 100 dưới dạng số thập phân là:,"A. 0,04","B. 0,4","C. 4,0","D. 40,0",D,A
244,2-245,"Biết 25% của số đó là 40, vậy số đó là:",A. 45,B. 80,C. 160,D. 25,C,B
245,2-246,"Số 3,175 chuyển thành phân số:",A. \frac{3175}{10},B. \frac{3175}{1000},C. \frac{317}{100},D. \frac{3}{17},B,B
246,2-247,Ngày 27 tháng 5 năm 2016 là thứ sáu thì ngày 4 tháng 6 cùng năm đó là thứ mấy?,A. Thứ tư,B. Thứ năm,C. Thứ sáu,D. Thứ bảy,D,B
247,2-248,5% của 12 và số 12 là số nào? Khoanh vào đáp án đúng:,A. 18,B. 12.6,C. 24,D. 12.12,K,D
248,2-249,"Có 40 viên bi, trong đó có 17 viên bi hồng, 10 viên bi xám, 5 viên bi đen, 8 viên bi trắng. Như vậy 1/5 số viên bi có màu là:",A. Hồng,B. Xám,C. Đen,D. Trắng,C,B
249,2-250,"Chữ số 8 trong số 24,289 thuộc hàng nào?",A. Hàng chục,B. Hàng phần mười,C. Hàng phần trăm,D. Hàng phần nghìn,C,C
250,2-251,"Một hình hộp chữ nhật có diện tích xung quanh là 4800 cm², trong đó chiều dài đáy là 40 cm và chiều rộng là 30 cm. Tính chiều cao của hình hộp chữ nhật đó.",A. 34.28 dm,"B. 17,14 cm","C. 17,14 dm","D. 34,28 cm",D,C
251,2-252,1 tấn 8 kg = . . . . tấn. Số thích hợp để điền vào chỗ chấm là:,"A. 1,008","B. 1,08","C. 1,8","D. 1,0008",A,B
252,2-253,3 \frac{1}{2} giờ = ……. phút,A. 210 phút,B. 120 phút,C. 150 phút,D. 180 phút,A,B
253,2-254,"Chữ số 8 trong số 6,008 có giá trị:",A. 800,B. \frac{8}{10},C. \frac{8}{100},D. \frac{8}{1000},D,D
254,2-255,"Kết quả của phép tính 1,6 \times 10 + 8 \div 4 là:",A. 16,B. 14,C. 10,D. 18,D,C
255,2-256,"Số nào là số lớn nhất trong 5,67; 5,76; 5,65; 5,675:","A. 5,67","B. 5,76","C. 5,65","D. 5,675",B,D
256,2-257,Tổng diện tích của hai viên gạch hình vuông có cạnh 40cm là:,A. 1600cm^{2},B. 16cm^{2},C. 32cm^{2},D. 3200cm^{2},D,A
257,2-258,Mua 12 quyển vở hết 36 000 đồng. Mua 33 quyển vở như thế hết số tiền là:,A. 75 000 đồng,B. 36 037 đồng,C. 90 000 đồng,D. 99 000 đồng,D,C
258,2-259,Viết dạng số thập phân của: năm mươi sáu phẩy bẩy mươi mốt,"A. 56,71","B. 56,701","C. 56,071","D. 50,671",A,B
259,2-260,"Số lớn nhất trong các số: 7,85; 6,58; 8,95; 7,99 là:","A. 7,85",B. 6.58,"C. 8,95","D. 7,99",C,C
260,2-261,Kết quả của (14:35)x10:,"A. 0,4",B. 4,C. 40,D. 400,B,C
261,2-262,"Một ban công hình vuông có chu vi 362,4m. Hỏi cạnh của ban công là bao nhiêu?","A. 3,6m","B. 9,06m","C. 9,6m","D. 90,6m",D,C
262,2-263,Số thập phân của hỗn số 3 \frac{6}{10} - 2 \frac{1}{100} là,"A. 3,06","B. 0,59","C. 1,59","D. 3,6",C,B
263,2-264,Giá trị của chữ số 6 trong số 862 495 là:,A. 60 000,B. 600 000,C. 600,D. 60,A,A
264,2-265,Tỉ số phần trăm của 90 và 120 + 130 + 20,A. 45,B. 33%,C. 45%,D. 45,B,C
265,2-266,Mua 3m vải hết 75 000 đồng. Hỏi mua 9m vải như thế hết bao nhiêu tiền?,A. 25 000 đồng,B. 125 000 đồng,C. 45 090 đồng,D. 225 000 đồng,D,C
266,2-267,"Tính diện tích của  miếng bìa hình tam giác có độ dài cạnh đáy 12dm, chiều cao bằng \frac{1}{4} cạnh đáy",A. 36 dm^{2},B. 9 dm^{2},C. 27 dm^{2},D. 18 dm^{2},D,B
267,2-268,"Tìm số lớn nhất: 7,234; 7,432; 7,324; 7,243","A. 7,432","B. 7,324","C. 7,243","D. 7,234",A,A
268,2-269,"Lan có 9000 đồng, Mai có số tiền gấp 5 lần số tiền của Lan. Vậy số tiền Mai có là",A. 8000 đồng,B. 30000 đồng,C. 45 000 đồng,D. 48 000 đồng,C,C
269,2-270,"Một ô tô đi với vận tốc 60 km/h, tính quãng đường ô tô đi được trong 12 phút.","A. 0,2 km",B. 5km,C. 720km,D. 12km,D,D
270,2-271,"Lãi suất tiết kiệm là 0,6 % một tháng. Một người gửi tiết kiệm là 10 000 000 đồng. Hỏi sau một tháng người đó nhận được tiền lãi và tiền gửi là bao nhiêu?",A. 10 060 000,B. 10 600 000,C. 10 050 000,D. 10 500 000,A,B
271,2-272,Điền số thích hợp: 4kg 750g = ............ g.,A. 4750,B. 4075,"C. 47,5","D. 4,75",A,A
272,2-273,Tính % giữa 30 và 22:,"A. 73,33%",B. 730%,C. 73%,D. 703%,A,C
273,2-274,"Phần thập phân của 212,12  là:",A. 12,B. \frac{12}{10},C. \frac{12}{100},D. \frac{12}{1000},C,B
274,2-275,Tính diện tích toàn phần của một hình lập phương biết diện tích xung quanh là 216 m²:,A. 144 m^{2},B. 216 m^{2},C. 125 m^{2},D. 324 m^{2},B,A
275,2-276,Số ở giữa số 9990 và số 9997 là:,A. 9908,B. 9980,C. 9995,D. 9998,C,C
276,2-277,"Cho hình vuông có cạnh là 2,3cm. Chu vi của hình hình vuông đó là:","A. 5,29cm","B. 9,2dm 2,3cm","C. 9,2cm",D. 92cm,C,C
277,2-278,Một hình lập phương có cạnh là 160 dm. Hãy tính thể tích hình lập phương đó:,A. 496 m^{3},B. 4096 m^{3},C. 256 m^{3},D. 2560 m^{3},B,B
278,2-279,Số thập phân của hỗn số 3 \frac{1}{2} là,"A. 3,25","B. 32,5","C. 2,5","D. 3,5",D,A
279,2-280,Một nhà máy ngày một xuất được 1/2 số hàng và ngày hai xuất được thêm 2/9 số hàng ban đầu. Thì số hàng còn lại là 15 mặt hàng. Hỏi số hàng mà cửa hàng đã xuất đi trong ngày thứ 2 là bao nhiêu?,A. 39 mặt hàng,B. 42 mặt hàng,C. 27 mặt hàng,D. 12 mặt hàng,D,B
280,2-281,6005 dm^{3} = … m^{3},"A. 6,005 m^{3}",B. 60 m^{3},C. 6 m^{3},"D. 0,6 m^{3}",A,A
281,2-282,Phân số \frac{250}{20} được chuyển sang dạng số thập phân:,"A. 12,5","B. 1,25","C. 10,25","D. 22,5",A,B
282,2-283,Diện tích của hình tròn có bán kính 6.5dm  là:,"A. 132,665 dm^{2}","B. 113,04 dm^{2}","C. 131,4 dm^{2}","D. 150,24 dm^{2}",A,A
283,2-284,Năm đơn vị chín phần mười bốn phần trăm trừ cho hai đơn vị là:,"A. 5,094","B. 5,94","C. 3,94","D. 3,094",C,C
284,2-285,Biểu thức: \frac{1}{2} + \frac{3}{4} x \frac{2}{5} có kết quả là:,A. 4,B. \frac{4}{5},C. \frac{8}{30},D. \frac{2}{3},B,B
285,2-286,Năm 1899 thuộc thế kỉ nào sau đây?,A. 12,B. 19,C. 20,D. 21,B,C
286,2-287,Thể tích của hình lập phương có cạnh 0.03m là:,A. 27cm^{3},"B. 0,27m^{2}",C. 27m^{3},"D. 2,7cm^{3}",A,A
287,2-288,"Trong các số có 3 chữ số dưới đây số nào khi cộng thêm với các chữ số hàng đơn vị, hàng chục, hàng trăm thì bằng 581.",A. 543,B. 550,C. 555,D. 565,C,D
288,2-289,Cô giáo phân công cho 2/5 số bạn trong lớp đi quét sân trường còn 1/3 số bạn đi dọn vệ sinh hành lang thì trong lớp còn 12 bạn vệ sinh lớp học. Hỏi số lượng học sinh được phân công đi dọn vệ sinh hành lang là bao nhiêu bạn?,A. 12,B. 15,C. 18,D. 20,B,C
289,2-290,33 000  cm =.................km,A. 33,"B. 0,33","C. 1,33",D. 330,B,D
290,2-291,"Tìm chu vi của nửa hình tròn biết chiều dài đường kính là 4,5cm:","A. 14,13cm","B. 7,06cm","C. 12,56cm","D. 6,28cm",B,B
291,2-292,2 phần trăm của 212 là:,A. 12,"B. 12,5","C. 4,2","D. 4,24",D,C
292,2-293,"Kết quả của phép tính 0,4 + 22,40 \div 3,5 là:","A. 2,49","B. 2,9","C. 6,4","D. 6,8",D,B
293,2-294,Biết trung bình cộng của 2 số là 185 và số lớn hơn số bé 26 đơn vị. Tìm số lớn.,A. 185,B. 370,C. 173,D. 198,D,B
294,2-295,"Tìm số tự nhiên x biết 98,69 - 1 < x < 99,4 - 1?",A. X = 98,B. X = 99,C. X = 90,D. X = 96,B,B
295,2-296,Phân số \frac{1}{5} - \frac{1}{8} + \frac{1}{2} viết dưới dạng số thập phân là:,"A. 0,575","B. 0,57","C. 0,02","D. 0,2",A,A
296,2-297,"Tìm Y biết Y + 2,20 = 2,5 \times  4:",A. 10,"B. 10,18","C. 10,22","D. 7,80",D,C
297,2-298,Lớp 5A có 12 học sinh nam và 24 học sinh nữ. Phần trăm giữa số học sinh nam so với toàn bộ học sinh là:,A. 20%,B. 50%,C. 25%,D. 33%,D,C
298,2-299,Một nhân viên cửa hàng buổi sáng bán được 1/2 số táo và buổi chiều bán thêm được 2/9 số táo so với số táo ban đầu thì còn lại 15 quả táo trong cửa hàng. Hỏi tổng số quả táo buổi sáng và buổi chiều bán được là bao nhiêu?,A. 39,B. 42,C. 46,D. 49,A,B
299,2-300,Cho hình thang có độ dài hai đáy là 18cm và 16cm; chiều cao là 15 cm. Hãy tính diện tích nửa hình thang.,A. 225 cm^{2},"B. 127,5 cm^{2}",C. 255 cm^{2},D. 540 cm^{2},B,B
300,2-301,Một con chim đại bàng bay được 30 km trong 1 giờ. Chim sẻ bay được vận tốc bằng 2/5 đại bàng. Hỏi trong 3.5 giờ thì chim sẻ bay được:,A. 12km,B. 42km,"C. 4,2km","D. 1,2km",B,B
301,2-302,"Kết quả của biểu thức 7,33 : (1,7 + 2,1) – 1,5","A. 3,01","B. 7,49","C. 1,87","D. 0,427",D,B
302,2-303,"Số lớn hơn 3,75 và bé hơn tổng của 2,4 +1,8 là số:","A. 3,57","B. 3,79","C. 3,9","D. 4,2",B,D
303,2-304,Diện tích hình chữ nhật có chiều dài a và chiều rộng b được tính theo công thức:,A. (a + b) \times 2,B. a \times b,C. a \times b \times 2,D. a + b \times 2,B,B
304,2-305,"Số thập phân gồm có “Năm đơn vị, 2 phần trăm, bảy phần nghìn"" viết là:","A. 5,27","B. 5,027","C. 5,007","D. 7,05",B,B
305,2-306,Một người đi xe đạp được 40 km trong 2 giờ 30 phút. Tính vận tốc đạp xe của người đó.,A. 25 km/giờ,B. 16 km/giờ,C. 30 km/giờ,D. 20 km/giờ,B,A
